	"983-2 (replicate)"	"983-1"	"V + X12"	"P2 + X12"	"P2 + X24"	"NE + X24"
5209_Trh	0.141195	0	0.461344	1.04021	1.19591	-0.0109969
5246_AW533447	-0.399285	-0.20157	-0.387197	0.859749	-0.115313	-0.200419
5353_Klk1c10	-0.392697	-0.184848	-0.36922	0.842061	-0.0564565	-0.117242
5432_Rptn_predicted	0.169882	0.0420408	-0.502666	-0.701597	-1.12	0.0495769
5590_XM_237297	-0.413332	-0.901819	-0.0703621	0.214201	0.209696	0.0904997
5733_TC563202	0.0432985	-0.212254	-0.16722	-0.283804	-0.15998	-0.712175
5741_AI230709	-0.350078	-0.173558	-0.359858	0.704894	-0.0252628	-0.0987408
5854_Adora2b	-0.319492	-0.709814	-0.0088598799999999	-0.491316	-0.650029	0.0033144
5960_XM_221094	0.898487	0.690128	-0.0836604	-0.662194	-1.02345	0.276854
5962_Armcx2	-0.261317	-0.169274	-0.27537	-0.868091	-0.851861	0.120414
6001_TC545665	0.0339145	0.178685	-0.30941	-0.90379	-0.982477	-0.201415
6035_Ltk_predicted	-0.337984	-0.152918	-0.233246	0.842682	-0.0309605	-0.0929519
6060_Cyp2f2	-0.084392	0.0126384	-0.500709	-0.958367	-1.1296	0.0739064
6077_A_44_P508621	-0.432951	-0.167015	-0.397564	0.725138	-0.0941973	-0.160961
6234_Gp2	-1.02671	-1.35711	-0.0676393	0.334028	0.168623	0.0688233
6253_Kb36	-0.408136	-0.176294	-0.341079	0.846244	-0.051234	-0.126316
6293_LOC680443	0.283588	0.412235	0.708538	0.00458282	0.0547395	0.417518
6332_Ka11	0.19329	0.188898	-0.381354	-0.991745	-1.01299	0.717738
6355_AA964661	-0.0540235	-0.380898	0.115964	0.740384	0.288187	0.070694
6442_Tspan1	-1.001	-1.08102	-0.0337186	-0.0874153	-0.235216	-0.273522
6481_Adm	0.0732493	0.217627	0.0263053	0.767378	0.591494	-0.0771723
6506_AI408856	-0.418611	-0.19759	-0.353586	0.832577	-0.055737	-0.135106
6513_LOC294446	0.193784	0.128259	-0.182783	-0.71748	-0.707411	-0.10169
6629_Ccl2	0.739278	0.966863	0.233902	-0.760188	-0.640668	-0.0939522
6777_Isg20	0.508348	0.222743	0.468318	0.486983	0.791778	0.139867
6826_G0s2	-0.46138	-0.564349	-0.847879	-0.639867	-0.957579	-0.101704
6856_Spbc24_predicted	-0.196009	-0.755658	-0.192645	-0.265007	-0.114592	-0.0354473
6926_Rdh12_predicted	0.108362	0.294002	-0.0615605	-0.740001	-0.819724	-0.116128
6989_Mamdc2	-0.0897424	-0.0950804	-0.162627	-0.410271	-0.191498	-0.813177
7048_BF556360	-0.109313	0.00815556	0.229742	0.873429	0.977232	0.129867
7113_XM_342752	1.00715	0.382119	-0.130474	0.0561812	-0.134352	0.489362
7166_Plagl1	-0.41067	-0.165904	-0.261739	0.776395	-0.00579499	-0.121898
7246_Kcns2	-0.384854	-0.162024	-0.302656	0.873444	-0.0869456	-0.128877
7278_ENSRNOT00000021645	0.731563	0.821495	0.240296	-0.138839	-0.402073	0.216056
7396_LOC682604	0.0807551	0.389371	-0.181181	-1.10953	-0.904105	-0.146652
7438_ENSRNOT00000034750	-0.392855	-0.165696	-0.352793	0.709246	-0.0231385	-0.104733
7453_Rbp2	0.0373548	0.129322	-0.0991039	-0.727464	-0.996719	0.170439
7487_Dach2_predicted	-0.369543	-0.185189	-0.37217	0.829618	-0.0990896	-0.16536
7545_RGD1559717_predicted	0.492203	-0.179995	-0.267656	-0.526851	-0.723279	-0.508733
7593_Prkcb1	0.467236	-0.0450885	-0.322989	-0.529122	-0.710445	0.0130938
7812_Fmo3	-0.255395	-0.353129	0.3401	0.518941	0.876181	-0.0620718
7900_Nudt5	0.304041	0.291668	0.104757	-1.02943	-1.35804	0.301863
7984_ENSRNOT00000041325	0.101289	-0.165083	-0.881847	-0.990109	-1.48351	-0.0245464
8135_Adm	0.0873402	0.205607	0.0149315	0.751371	0.597562	-0.0807107
8139_Myod1	0.256017	0.949094	-0.0382722	0.402563	-1.09538	0.291985
8308_Pycs_predicted	-0.100052	-0.162067	0.0696167	-0.834477	-0.721663	-0.0909301
8319_Syt8	-0.379899	-0.18209	-0.360796	0.825877	-0.0790723	-0.159749
8381_RGD1562156_predicted	0.839848	0.693241	-0.0313953	-0.372699	-0.744786	0.217172
8514_Cdkn1c	0.833228	0.980261	0.504017	0.221594	0.147307	0.355894
8604_TC523929	-0.352255	-0.535708	-0.636858	-0.874022	-0.895918	-0.583012
8624_BE117514	0.100476	0.127721	0.171774	0.863227	0.277422	0.13435
8696_BF405897	-0.276787	-0.183254	-0.333751	0.861595	-0.0543514	-0.13276
8698_TC550284	0.614449	0.126249	-0.247816	-1.17965	-1.26685	0.0192357
8756_RT1-Aw2	-0.00480526	-0.828552	-0.121218	-1.05021	-1.08764	-0.260406
8767_LOC681870	-0.42294	-1.26733	-0.487734	-0.664977	-0.777359	-0.0655088
8777_S100a8	-0.213873	0.139135	0.123006	-0.584259	-0.491342	0.936641
8964_AI454457	-0.0994494	-0.28286	0.153023	0.396192	0.837734	-0.204136
8984_RGD1563437_predicted	-0.144423	0.0911449	0.00118549	0.642264	0.767448	0.202245
9030_BF558337	0.0504644	-0.619884	0.249637	-0.522135	-0.18949	-0.830524
9145_Glycam1	-0.406066	-0.207546	-0.349149	0.854243	-0.0700803	-0.155066
9171_Ugcg	0.319658	0.0314061	-0.352595	-0.887407	-0.708546	-0.406842
9240_Irf7	0.614529	0.757412	0.569257	-0.185249	-0.0392498	0.471567
9262_Upk1b	-0.604333	-1.27085	0.524855	-0.313049	-0.36829	-0.185209
9311_LOC691431	0.080607	0.182562	0.151766	0.72347	0.830186	-0.223748
9330_LOC685485	-1.04978	-1.3622	-0.0155495	0.118853	0.0780162	-0.0696561
9333_Mk1	0.273184	0.190978	0.0350315	-0.70893	-0.465908	0.0392333
9349_AW919116	0.465999	0.773621	0.0114793	0.314148	-0.188521	0.444739
9360_Cyp2e1	0.0682702	-0.840188	-0.0450612	-0.473668	-0.176524	-0.996985
9705_RGD1564720_predicted	-0.528438	-0.888707	-0.00593459	0.0938676	0.0589	-0.0848766
9718_BE116623	-0.183035	-0.29609	-0.115714	1.00291	1.1289	0.197447
9740_AW520742	-0.408731	-0.204535	-0.320065	0.851908	-0.0041328	-0.112113
9774_Spin2a	-0.408717	-0.200479	-0.316418	0.826561	-0.0408132	-0.12215
9785_Rhoa	-0.335184	-0.00107878	-0.825032	-0.236429	-0.1326	-0.0658418
9871_Csta_predicted	0.118469	-0.100169	-0.398418	-0.905028	-0.968296	0.18551
9894_Spp1	0.0160001	0.32339	0.542258	0.714366	0.665298	1.20835
9948_Myf6	0.520443	0.827957	0.270694	0.70396	0.325399	0.408089
9954_Cyp26a1	-0.370798	-0.699128	0.0857995	0.300105	0.168522	0.0813545
10035_LOC259244	-0.82788	-0.854332	0.00388796	-0.318149	-0.246288	-0.17873
10146_Adm	0.106027	0.217683	0.0211195	0.76794	0.606037	-0.0854285
10165_Adm	0.110492	0.203676	0.00988927	0.767936	0.603909	-0.0830288
10187_RT1-Db1	0.719354	0.0700486	-0.0878554	-0.475177	-0.462115	-0.341071
10369_RGD1310769_predicted	0.0583367	-0.0594349	-0.178162	-0.902274	-0.844146	-0.0524727
10375_RGD1562268_predicted	-0.394958	-0.166091	-0.323824	0.80778	-0.059735	-0.121438
10433_Timp1	0.484758	0.525079	0.0459563	-0.0986684	-0.156284	0.744786
10434_Ly6g6d	-0.294778	-0.201627	-0.284001	0.77507	-0.0106447	-0.0870126
10480_AA858925	-0.409516	-0.162852	-0.359003	0.769693	-0.0460135	-0.118272
10533_LOC691929	0.078341	0.112183	-0.245963	-0.770728	-0.688934	-0.0256361
10601_AW142999	-0.255234	-0.151998	-0.134773	-0.852372	-0.59319	0.0880536
10671_Spna1	-0.380541	-0.181531	-0.366901	0.808792	-0.0466513	-0.115601
10720_Chia	-1.32209	-1.61375	-0.081876	0.374769	0.210207	0.100035
10726_XM_238109	0.139575	0.591687	-0.00161874	-0.784762	-0.900575	0.169791
10778_Rhoa	-0.33632	0.015213	-0.850665	-0.227404	-0.128928	-0.0683456
10791_RT1-Aw2	-0.0308628	-0.768566	-0.128803	-1.06262	-1.11388	-0.270575
10833_Lnpep	-0.41488	-0.166551	-0.3156	0.887649	-0.0360675	-0.119794
10836_CF108931	0.782501	0.319647	-0.0111043	-0.372729	-0.389762	-0.112258
10841_RGD1309383	-0.132012	-0.855661	-0.257389	-0.520727	-0.500791	-0.0586868
11004_AI599699	-0.388175	-0.159863	-0.3826	0.893623	-0.105118	-0.186861
11023_TC527977	0.2144	-0.176049	0.066592	-0.723803	-0.561204	0.00256304
11103_Csn10	-1.46003	-1.54235	-0.00629168	0.287774	0.27239	0.34115
11256_Bub1_predicted	-0.332812	-0.885334	-0.280454	-0.412252	-0.329311	0.0180082
11276_Krtap14_predicted	-0.503038	-0.757679	0.0599223	-0.16498	0.126801	-0.00743946
11304_AA901025	-0.391583	-0.191392	-0.346974	0.815347	-0.0467578	-0.120235
11334_CB548303	0.742921	0.496319	-0.0350985	-0.283621	-0.333467	0.298536
11336_Bst2	-0.0186356	0.396372	-0.729565	-0.321603	-0.542953	0.0955819
11394_Slc5a2	0.24101	1.08065	0.726035	0.0379206	0.0800504	0.455519
11550_Nr4a3	0.171086	0.651426	-0.596452	0.218366	-0.671356	-1.29968
11568_BG380409	-0.163738	-0.297361	0.0285977	0.701684	0.262828	0.0825409
11639_RGD1308143	-0.391426	-0.166079	-0.323836	0.811936	-0.0532233	-0.108548
11695_TC558364	0.167932	0.221295	0.0070941	0.717773	0.576398	-0.056934
11698_Spag5	-0.269632	-0.836703	-0.2235	-0.547198	-0.304385	0.0513381
11754_RGD1565787_predicted	0.0568328	0.0685707	0.0866654	-0.753357	-0.682943	0.29213
11818_BE108327	-0.403868	-0.18419	-0.366993	0.715622	-0.0287661	-0.107254
11855_Map1lc3b	0.0467461	0.0203582	0.0348429	0.37836	0.784912	-0.020692
11864_LOC683447	0.448188	0.869853	0.857784	0.567758	0.743311	0.544271
11879_LOC689210	-0.738825	-1.08414	0.168358	0.471535	0.68195	0.132639
11918_Col1a1	-0.648337	-0.760292	0.164398	-0.311737	-0.22049	-0.569296
12083_Xdh	-0.039167	-0.0304621	0.101017	0.709106	0.500869	0.0597648
12094_Bst2	-0.0485959	0.390693	-0.754148	-0.355675	-0.559746	0.0937817
12124_Tsc22d3	-0.248686	0.0370179	0.0866891	0.479801	0.705717	-0.257353
12192_MGC112682	0.0579129	-0.0342464	0.0285452	-0.728109	-0.485235	-0.0343759
12196_Ifna4_predicted	-0.347891	-0.190162	-0.37106	0.865277	-0.060041	-0.185347
12211_RGD1562705_predicted	-0.0350802	-0.114712	0.0458704	-0.702603	-0.80256	0.0362753
12232_AABR03006190	-0.0973859	-0.230972	0.262151	0.247512	0.702877	-0.0876385
12398_AI031053	0.259765	0.495719	0.311911	0.707677	0.850286	-0.263649
12430_Arg2	-0.0369975	-0.139271	0.104147	0.859699	0.324039	-0.150874
12432_RGD1559936_predicted	-0.364944	-0.18955	-0.418505	0.859782	-0.148228	-0.317526
12436_Prg4_predicted	0.107092	0.464551	0.138323	0.399314	0.425449	0.957607
12524_Il1rn	0.14435	0.157261	-0.236968	-0.681774	-0.8073	0.0325479
12603_AA956109	-0.423587	-0.174669	-0.369992	0.791986	-0.0635551	-0.143496
12641_Krt1-18	-1.03471	-1.26498	-0.261913	-0.243385	-0.0052385	-0.443871
12673_XM_216761	-0.405097	-0.194893	-0.424845	0.848323	-0.158022	-0.242744
12705_AW142871	-0.862177	-1.02872	0.243251	0.0808235	0.40524	0.250371
12734_RGD1561261_predicted	-0.388706	-0.190806	-0.387729	0.730614	-0.0741847	-0.146992
12747_XM_216266	-0.307084	-0.822708	-0.380441	-0.787515	-0.654788	-0.0698795
12796_RGD1562132_predicted	-0.408902	-0.199248	-0.338556	0.871891	-0.0703416	-0.155258
12821_Gm52_predicted	-0.407238	-0.179918	-0.330143	0.726047	-0.0231955	-0.0926339
12909_RGD1559710_predicted	-0.063491	-0.671124	-0.727834	-0.703434	-1.50647	-0.304797
13069_RGD1311530_predicted	-0.0283204	-0.20051	0.357247	0.525028	1.0867	0.324811
13149_Olr1337_predicted	-0.392221	-0.193854	-0.344216	0.878552	-0.0238953	-0.133193
13167_LOC683383	-0.384869	-0.193684	-0.313089	0.840239	-0.040831	-0.105139
13175_AI072953	-0.347988	-0.207881	-0.360227	0.836721	-0.0628259	-0.131326
13219_Clca2	-0.748052	-1.02307	-0.260288	-0.639805	-0.408519	-0.180436
13247_RGD1566042_predicted	0.0087488	0.169912	0.418346	-0.663125	-1.03261	0.0874066
13369_Trp53inp1	0.264342	0.301354	0.488558	0.615388	0.748007	0.390278
13434_Tmprss8	-1.01339	-1.13198	0.152648	0.298017	0.227309	0.0446125
13438_Tlr2	0.406649	-0.0259733	-0.10043	-0.291568	-0.804825	0.429415
13439_XM_215130	-0.412615	-0.763316	0.127628	0.335799	0.446175	0.0180763
13456_AW529005	-0.200323	-0.211069	-0.223192	0.728493	0.0521405	-0.0294907
13632_Igsf6	0.772331	0.281923	0.157002	0.0883147	-0.0467728	0.3854
13712_LOC683127	-0.0146068	-0.521203	-0.548268	-0.792054	-1.03224	-0.218192
13767_RGD1562847_predicted	0.802081	0.151194	-0.089357	-0.843189	-1.27557	-0.0507308
13870_Pdzd7_predicted	-0.375359	-0.187562	-0.320718	0.715965	0.0120487	-0.0994955
13882_Ccl2	0.751396	0.967265	0.235782	-0.755289	-0.634872	-0.100751
13910_LOC361990	-0.322242	-0.121081	-0.264516	0.792284	-0.0616931	-0.128044
13972_RGD1307059_predicted	0.0150178	-0.133757	-0.5338	-0.503428	-0.81609	-0.255944
14031_XM_217064	-0.324689	-0.189758	-0.284713	0.728399	-0.0332463	-0.0997989
14116_Klk10	0.203132	0.0918158	-0.119267	-0.71763	-0.511383	-0.363147
14118_Prkcb1	0.498134	-0.0836616	-0.305783	-0.54558	-0.735737	0.021479
14139_AI236061	-0.427079	-0.192558	-0.326591	0.881654	-0.0516399	-0.121629
14222_XM_344845	-0.434271	-0.18986	-0.377888	0.702796	-0.0578389	-0.129783
14228_BC092191	-0.0240691	-0.0153671	-0.00617559	0.81383	0.409379	-0.119237
14279_Ccl2	0.765591	0.980576	0.216867	-0.778155	-0.642488	-0.100873
14280_LOC310902	0.155948	0.232743	0.143441	-0.00034227300000004	0.267615	-0.748711
14453_LOC498022	1.01789	0.684671	-0.0281183	-0.438339	-0.983901	0.264812
14459_Muc4	-0.8582	-1.08347	0	0.155231	0	-0.0116529
14486_Mrc1_predicted	0.707486	0.419221	-0.00488748	0.161683	0.137154	0.254136
14592_Obp3	-1.25308	-0.817579	0.0886548	-0.274353	-0.142691	-0.0967428
14601_Timp1	0.457913	0.517219	0.0544894	-0.117392	-0.162507	0.79084
14643_RGD1310242	0.0842051	-0.0149716	0.190129	-0.806743	-0.885916	-0.235341
14663_Mafg	-0.269346	-0.104333	-0.285867	0.754733	-0.092063	-0.255561
14678_Ptpro	0.836154	0.620767	-0.105681	-0.906052	-0.436307	0.188706
14732_A_44_P889987	-0.402591	-0.173526	-0.347667	0.889156	-0.0820516	-0.152228
14734_Cxcl1	-0.25653	-0.288656	-0.0557925	-0.377068	-0.726779	-0.559881
14826_Sdro	0.19519	0.151427	-0.21482	-0.5714	-0.715285	-0.0942783
14850_AA850595	-0.361984	-0.19443	-0.322133	0.839609	-0.0622398	-0.12743
14863_BG380728	-0.358431	-0.157508	-0.321533	0.808018	-0.0617531	-0.126428
14865_TC562299	-0.407658	-0.194536	-0.34947	0.771699	-0.0648261	-0.119365
14891_Cdkn1c	0.669354	0.90586	0.288588	0.00061080499999999	0.0047911	0.190611
14930_LOC683288	-0.602444	0.127247	-1.05406	0.0230077	-0.00032263800000003	-0.0417836
14972_DV715356	0.0893217	0.215649	0.018062	-0.737808	-0.397821	0.0620714
14973_Gsta2	-0.71222	-0.860324	0.258716	0.107495	0.267513	0.14391
15052_Slc44a4	-0.768536	-1.05994	-0.389852	-0.654119	-0.956853	-0.229903
15057_Echdc1	-0.0528737	-0.106219	-0.0634059	-0.49119	-0.745826	-0.256088
15212_Cgm3	-0.0201027	0	0.578301	1.1889	1.30781	-0.216154
15220_LOC685179	-0.278041	-0.172839	-0.231717	0.703418	0.0228932	-0.0371574
15357_Muc5ac	-0.764316	-1.12144	0.0484676	0.372724	0.443587	0.224328
15363_Trim37_predicted	0.0746143	0.0379303	0.117577	-0.742454	-0.569855	0.185142
15369_RGD1564571_predicted	-0.0501444	-0.725345	-0.692655	-0.819716	-1.29832	-0.444231
15424_Muc4	-1.05686	-1.26911	0	0.0606171	0	-0.0160159
15464_Fscn2_predicted	0.0351732	0.107493	0.125867	0.718664	0.633955	-0.180954
15706_LOC686293	0.148358	-0.119601	-0.128599	-0.489859	-0.746747	0.00651063
15742_Wisp2	-0.0927999	-0.319408	0.0157919	-0.748363	-0.6419	-0.0667581
15787_BG671456	-0.0953165	-0.0970589	-0.0612397	-0.607984	-0.730627	-0.189883
15902_Timp1	0.448586	0.531412	0.0479122	-0.109703	-0.170587	0.79795
15903_Cyp2e1	-0.0567441	-0.3063	-0.046041	-0.493417	-0.212296	-1.02433
15910_Kntc1_predicted	0.0398575	-0.675319	-0.393443	-0.699664	-0.286406	0.0269113
15974_AI136055	-0.416697	-0.187179	-0.384831	0.771624	-0.0389952	-0.110627
15997_Kif20a_predicted	-0.201176	-0.73986	-0.406346	-0.0383033	-0.340901	-0.0111024
16038_XM_225713	-0.31078	-0.208176	-0.310121	0.810874	-0.0276093	-0.125005
16055_Clca3_predicted	-0.720701	-1.34456	0.26055	-0.451348	-0.385213	-0.107791
16070_Gsg1	-0.607095	-0.868891	0.101521	-0.217837	-0.257551	0.309548
16103_RGD1564406_predicted	-0.369585	-0.144866	-0.371992	0.734135	-0.0755293	-0.132596
16173_LOC292666	-0.379022	-0.185984	-0.30897	0.819087	-0.0359154	-0.0931574
16188_TC568082	0.487105	-0.00975486	-0.20422	-0.833496	-0.667452	0.135819
16225_Ankrd1	-0.0793232	0.929821	-0.0902762	0.943564	0.0967047	0.237148
16232_AW915309	-0.413472	-0.176432	-0.0512591	-0.680862	-0.819636	-0.355438
16307_LOC678910	-0.705764	-0.645336	0.90391	0.086747	0.7585	0.428684
16417_RGD1565395_predicted	-0.30576	-0.767998	-0.31033	-0.517439	-0.614576	-0.159904
16460_Ccl2	0.758981	0.96714	0.233667	-0.751433	-0.626088	-0.103605
16480_CB546035	0.0855107	0.0188485	0.24151	0.613393	0.838341	0.0636776
16595_Tacr2	0.600357	0.882839	0.419334	0.102672	0.0767658	0.270781
16673_Rasl12_predicted	-0.411884	-0.175163	-0.295432	0.810432	-0.0865551	-0.17586
