	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"
3326_Vapb	-0.343271	-0.815332	-0.390792	-0.472222	-0.169212	-0.691547
3328_Trim9	-0.311016	-0.408888	-0.441009	-0.273705	-0.473896	-0.486503
3333_Max	-0.301141	-0.499737	-0.224295	-0.270002	-0.191991	-0.0718133
3336_Hectd2	-0.238939	-0.347615	-0.0953327	-0.19787	-0.493938	-0.332057
3342_Ahrr	-0.36757	-0.169984	1.1244	0.702862	-0.205054	0.135031
3381_Plk3	-0.0981612	-0.111359	-0.611443	0.0387678	-0.381896	0.0779336
3413_Nln	0.237412	0.520635	0.133917	0.299309	0.410995	0.0257505
3450_Etv2	-0.500992	-0.483181	-0.393559	-0.307592	-0.622265	-0.376154
3487_Krt27	-0.401559	-0.427874	-0.561446	-0.256238	-0.579752	-0.431489
3506_A_52_P804224	-0.777441	-0.608552	-0.26408	-0.311923	-0.595864	-0.313392
3514_Cyp26b1	-0.941743	-0.760962	-1.14631	-0.66418	-0.27274	0.0552578
3558_4631416L12Rik	-0.351557	0.0660125	0.194258	0.527571	0.324755	0.0380889
3559_Myc	0.352176	-0.136287	0.133028	0.588088	-0.101881	0.383869
3564_Nrip2	-0.188959	-0.27494	0.0407902	-0.0794858	-0.523171	-0.319076
3572_Cldn1	0.58675	0.512775	0.3782	0.557153	0.562339	0.281772
3611_Creld2	-0.491537	-0.502948	-0.494433	-0.474627	-0.534971	-0.34603
3676_Mbl2	-0.532985	-0.458897	-0.451881	-0.422564	-0.399051	-0.469906
3714_Ldlr	-0.491433	-0.309067	-0.232809	-0.0955606	-0.333925	-0.0258256
3741_Bcl9	-0.0308952	0.249954	-0.00728349	-0.0225343	-0.770004	-0.145106
3749_AW146020	-0.550242	-0.265229	-0.226591	-0.0779833	0.0390812	0.024602
3768_Jun	-0.0573442	-0.206248	-0.19611	0.491247	0.2377	0.114085
3771_Cyp1b1	0.164153	0.380374	1.25519	1.21427	0.0628909	0.421631
3788_Map3k6	-0.212027	-0.247907	-0.259029	-0.21268	-0.397555	-0.501925
3811_Xlr3c	-0.164216	-0.160772	0.184912	0.531367	-0.213949	0.257382
3855_A_52_P496163	-0.323643	-0.387416	-0.534985	-0.431593	-0.126548	-0.150151
3943_Pax8	-0.593567	-0.455178	-0.526181	-0.33353	-0.554193	-0.285183
3970_Afp	0.00413411	0.0710525	0.550449	0.531271	0.371048	0.333124
4016_1700011H22Rik	-0.374855	-0.43895	-0.576083	-0.293199	-0.535188	-0.430877
4065_Trp53	0.546963	0.342287	0.305402	0.0963033	0.025061	-0.294912
4105_A_52_P989584	-0.515517	-0.460581	-0.303615	0.0508686	0.153733	-0.121084
4277_A930004D18Rik	-0.304113	-0.153153	0.586562	0.828332	0.150957	0.830901
4291_Slc22a7	0.331495	0.265582	0.573909	0.57496	0.264107	0.510828
4319_A_52_P645675	-0.607139	-0.614173	-0.410377	-0.0675811	-0.0789286	0.07762
4328_Tmpo	0.393307	0.53501	0.41464	0.225811	0.40857	0.0677517
4334_Ppp1r3c	0.479018	0.569915	0.388057	0.275734	0.532141	0.143558
4394_Lat	-0.0671758	-0.360444	-0.281064	-0.289596	-0.524369	-0.383543
4407_Olfr1020	-0.243636	-0.470543	-0.540085	-0.336246	-0.527814	-0.285853
4426_Tdg	0.271976	0.425476	0.376851	0.498636	0.361577	0.12226
4432_Zmynd10	-0.241862	-0.271835	-0.171005	-0.297887	-0.536354	-0.390468
4436_Dirc2	-0.386596	-0.87735	0.0268002	-0.136932	-0.129263	-0.327493
4442_Cldn18	-0.529675	-0.521906	-0.577587	-0.363637	-0.588236	-0.575538
4456_Grin2d	-0.141902	-0.459064	-0.501437	-0.436691	-0.186453	0.16238
4539_1810033B17Rik	-0.521277	-0.373775	-0.155215	-0.0121748	-0.195797	0.0579732
4607_Srgn	-0.516921	-0.628653	-0.216813	-0.466987	-0.317633	0.0414683
4662_Zfp655	0.169853	0.297867	0.334065	0.552212	0.11601	0.170372
4666_Cmpk2	0.480473	0.217062	0.158946	0.357903	0.249338	0.00388802
4696_9930021J03Rik	0.464169	0.491718	0.10854	0.0895599	0.455982	-0.0847372
4750_Ndc80	-0.141433	-0.444556	-0.307908	-0.323511	-0.616168	-0.46142
4770_Rad21	0.45195	0.553933	0.273295	0.340803	0.555136	0.207208
4777_Wdr37	0.131352	0.201308	0.324053	0.52868	0.321822	-0.0069635299999999
4987_Otud4	0.481843	0.604802	0.515144	0.321171	0.411567	0.0507395
5020_Cyp17a1	-0.589003	-0.582766	-0.60619	-0.450167	-0.426554	-0.181383
5024_Man1a	0.361074	0.401199	0.293327	0.500494	0.29045	0.211839
5050_Sf3b3	-0.535969	-0.381587	-0.278392	-0.0147862	-0.323171	0.0296041
5148_Acvr2a	0.557218	0.40146	0.378149	0.0706939	0.31137	0.0174003
5151_Pik3r3	-0.10499	0.00147839	0.295076	0.641742	0.0317825	0.115418
5167_BC015286	0.0820479	-0.147836	0.0135121	0.198874	0.0307498	0.521425
5280_Rarb	-0.428383	-0.360153	-0.497145	-0.203378	-0.181286	0.0130262
5416_Cacnb2	-0.219352	-0.371212	-0.343717	-0.30767	-0.551435	-0.323736
5484_Gm98	-0.494242	-0.459599	-0.320212	-0.191477	-0.270149	-0.18013
5555_Bspry	-0.0444037	-0.374633	-0.321869	-0.30852	-0.47886	-0.412608
5556_Actb	-0.314577	-0.481935	-0.0473687	-0.051272	-0.203088	0.34
5567_H2-Q1	-0.356001	-0.318276	-0.727268	-0.419305	-0.315598	-0.12687
5718_Rpia	-0.586092	-0.638782	-0.673563	-0.396982	-0.316168	-0.110685
5868_Cnnm2	0.248367	0.309799	0.10996	0.665683	0.366189	0.140875
5881_Zcchc7	-0.621782	-0.583722	-0.203595	-0.243718	-0.411141	-0.223406
5893_0610039H22Rik	-0.0445282	-0.376087	-0.356049	-0.211413	-0.500719	-0.378151
5926_4930471M23Rik	0.508724	0.38093	0.349687	0.1302	0.261612	-0.0803985
5938_Fabp9	-0.426664	-0.545383	-0.597923	-0.363315	-0.642576	-0.274857
5956_Gdnf	-0.12934	-0.487544	-0.530105	-0.29874	-0.566281	-0.537262
5966_Slc13a4	-0.481335	-0.378483	-0.0970719	-0.0342698	-0.370327	-0.539252
6021_Mat1a	-0.149011	0.00079749300000004	-0.503052	-0.535689	-0.119564	-0.462839
6075_Cml5	-0.0723061	-0.130445	0.724399	0.68237	0.00216855	0.562553
6105_A_52_P145628	0.0283486	0.196928	0.997317	0.609241	0.104186	0.160292
6218_Vps13a	-0.264829	-0.60147	-0.600583	-0.519688	-0.234623	0.0349575
6257_5730455P16Rik	0.160891	0.239418	0.362814	0.548036	0.212104	0.200545
6355_Cxcr2	-0.280447	-0.590257	-0.600308	-0.407087	-0.573237	-0.52808
6432_Gpr35	-0.0193351	-0.451982	-0.359713	-0.295982	-0.60298	-0.537904
6437_Pou4f1	-0.370025	-0.483017	-0.444113	-0.403818	-0.243908	-0.093097
6493_Rnf170	-0.576826	-0.434848	-0.369537	-0.394389	-0.549493	-0.345728
6538_Nek1	0.353396	0.511149	0.420893	0.0931676	0.579105	0.123843
6541_Tctex1d4	-0.276085	-0.429748	-0.514697	-0.313777	-0.527149	-0.377474
6545_Clec2h	0.109926	0.330708	0.365534	0.3411	0.357704	0.530453
6556_Dntt	-0.587037	-0.602096	-0.359438	-0.236216	-0.349749	-0.0501888
6580_Ptprc	-0.488773	-0.523269	-0.28418	-0.411938	-0.294529	-0.0418628
6635_Cfp	-0.0691223	-0.135555	-0.178943	-0.49569	-0.200346	-0.480981
6653_Sidt2	-0.399897	-0.553048	-0.38627	-0.355022	-0.152527	0.0778106
6659_Rcan2	-0.422377	-0.431103	-0.525195	-0.399087	-0.28404	-0.0377141
6774_Cish	-0.423289	-0.154571	-0.683036	0.313287	-0.527204	-0.145288
6835_Slc6a14	0.337495	0.233544	0.26761	0.57883	0.28973	0.0377441
6879_Odz2	-0.277003	-0.431339	-0.678241	-0.277491	-0.591164	-0.387666
6892_Sparcl1	-0.401952	-0.336093	-0.585307	-0.285105	-0.177933	0.218888
6934_Mt1	-0.213258	-0.368181	-0.552309	-0.475397	-0.39223	-0.353372
6943_A_52_P92428	0.383611	0.414592	0.521666	0.419623	0.25217	0.309673
7042_Ptprc	-0.507893	-0.503357	-0.280731	-0.384427	-0.269648	-0.0359514
7077_Myc	0.500675	-0.0284002	0.29185	0.578168	0.0101158	0.08231
7081_Hist1h2bk	-0.260265	-0.495913	-0.223707	-0.190641	-0.215083	-0.145295
7094_Derl3	-0.144831	-0.387153	-0.672288	-0.383121	-0.325906	-0.387995
7105_Ffar2	-0.262979	-0.679774	-0.558961	-0.473453	-0.704885	-0.565037
7157_Slc4a7	-0.442887	-0.501606	-0.291641	0.059843	-0.211884	0.0571301
7171_Bcl2a1b	-0.357021	-0.513379	-0.176045	-0.317645	-0.133829	-0.0013078
7197_Gm11938	-0.386465	-0.604148	-0.632303	-0.55666	-0.244688	0.0177202
7218_Rai14	0.48024	0.421445	0.409577	0.0809487	0.488397	0.0987713
7365_A_51_P180546	-0.474283	-0.580411	-0.506238	-0.376862	-0.122087	-0.127165
7366_Adamts3	-1.03136	-0.589141	-0.564525	-0.343631	-0.62002	-0.303886
7380_Saa1	0.223437	0.0536915	0.574998	0.0237704	0.230538	-0.114687
7406_Nrp2	-0.561821	-0.444034	-0.344519	-0.384916	-0.430192	-0.0622642
7453_Ctnnd1	0.533923	0.61637	0.331116	0.354841	0.415882	0.203691
7457_Rgs3	-0.415469	-0.527007	-0.399212	-0.39828	-0.146425	0.0376165
7464_Tuba8	0.106949	-0.00875401	0.654859	0.32316	0.011905	0.127255
7518_Clec4f	-0.0654243	-0.141474	-0.227582	-0.491752	-0.120059	-0.37026
7585_Acot4	-0.53365	-0.382969	-0.338864	-0.149305	-0.276538	0.0759331
7601_Tex101	-0.360832	-0.435516	-0.55117	-0.304226	-0.517631	-0.418941
7647_Vldlr	-0.523812	-0.354603	-0.303407	-0.0504241	-0.337682	0.177194
7650_A_52_P471947	-0.81201	-0.684919	-0.438648	-0.344724	-0.361457	-0.242517
7667_Fstl1	0.504174	0.29735	0.25483	0.355912	0.281216	0.170202
7734_Lmo7	-0.572051	-0.396153	-0.0186644	-0.0509679	-0.350697	0.336091
7740_A_52_P646530	-0.418413	-0.500926	-0.473112	-0.316202	-0.0197098	0.116738
7758_Gpkow	-0.514946	-0.263427	-0.270886	-0.0224897	-0.264084	0.0893774
7777_A_51_P355094	0.383763	-0.064173	1.32907	1.72042	0.139017	0.589558
7786_Shprh	0.285886	0.478333	0.339399	0.626318	0.414691	0.212892
7792_3110057O12Rik	0.103721	0.247991	0.396878	0.502867	0.224976	0.210014
7827_6030422H21Rik	-1.04368	-0.787418	-0.675048	-0.466681	-0.806191	-0.219494
7834_Gucy1a3	0.584204	0.275021	0.302882	-0.0800276	0.45668	0.0610591
7836_Sipa1l3	0.507633	0.503364	-0.0597521	0.453694	0.344916	-0.12693
7865_Srpk2	0.264157	0.502501	0.255931	0.144117	0.55668	0.0931972
7870_Hspb7	-0.225422	-0.43594	-0.358703	-0.287567	-0.591699	-0.270882
7899_A_52_P586391	-0.628925	-0.274476	-0.55032	0.0588633	-0.696704	0.0895621
7934_Sparc	0.653554	0.437721	0.173515	0.260362	0.477712	0.386149
7942_Rarb	-0.395057	-0.32926	-0.517567	-0.208932	-0.201106	0.0515314
7961_Mrc1	-0.449086	-0.335374	-0.402094	-0.641832	-0.345741	-0.0763265
7999_Raet1a	-0.493068	-0.418753	-0.337419	-0.19294	-0.413628	-0.349389
8013_Rdh12	-0.282885	-0.353622	-0.529141	-0.420167	-0.0955003	0.0238834
8022_A_52_P226559	-0.193896	-0.475371	-0.541794	-0.466851	-0.186936	0.14066
8039_Actb	-0.296487	-0.480933	-0.0439536	-0.0694256	-0.243722	0.355009
8055_Xist	-2.74734	-2.79407	-3.07574	-2.29154	-2.01679	-0.99775
8117_Il1rap	0.502443	0.448269	0.537044	0.631505	0.314611	0.0800481
8118_Olfr433	-0.370043	-0.598655	-0.569007	-0.392119	-0.654765	-0.46892
8130_Zfp263	0.311409	0.525404	0.220488	0.275018	0.428367	0.092051
8152_Cstf3	-0.381901	-0.526066	-0.309984	-0.261434	-0.270225	0.0550376
8155_Saa3	0.249814	0.074508	0.716374	0.0446674	0.262716	0.0731011
8168_A_51_P290904	-0.554781	-0.821174	-0.627119	-0.51751	-0.31356	-0.0865135
8235_Snx27	-0.444082	-0.547318	-0.310735	0.0297428	-0.103261	0.192558
8356_Tmem165	-0.423907	-0.697592	-0.487384	-0.422459	-0.202886	0.0324952
8380_Spata4	-0.480512	-0.59482	-0.540908	-0.368123	-0.506315	-0.261876
8418_Asap2	0.360491	0.267184	0.185393	0.512368	0.35669	-0.0555626
8437_Jun	-0.0430199	-0.238198	-0.199843	0.527393	0.284218	0.177904
8504_Fam164c	0.0299826	-0.417935	-0.472898	-0.354948	-0.529492	-0.36098
8580_Cdh2	0.332293	0.321061	0.272242	0.485641	0.169453	0.354461
8618_Cpeb2	0.767925	0.846702	0.3893	0.483553	0.969631	0.567277
8659_Abhd13	0.267325	0.332027	0.417358	0.566583	0.28003	0.107385
8669_A430106A12Rik	-0.590266	-0.342155	-0.366783	-0.13945	-0.439317	-0.0848585
8704_Gas2l3	-0.199599	0.0914666	0.200106	0.589067	0.0456891	0.0785326
8723_Neurl3	-0.434379	-0.631674	-0.221542	-0.303355	-0.492376	-0.350716
8730_Fam120a	0.408095	0.491873	0.20147	0.194094	0.223445	0.216262
8775_Pspc1	-0.0763351	0.0826017	0.374252	0.477585	0.297529	0.106101
8852_Ildr2	-0.563532	-0.404635	-0.491511	-0.474783	-0.321625	-0.0206876
8878_Cd5l	-0.287101	-0.315202	-0.0934091	-0.540652	-0.274249	-0.342918
8884_Ddx3y	0.380841	0.351131	0.509663	0.512517	0.286971	0.477357
8886_Sox6	0.500893	0.594737	0.281685	0.422596	0.55922	0.074689
8910_Rab3il1	-0.495919	-0.262668	-0.243305	-0.114229	0.0419328	0.0168678
8948_Arrdc4	-0.408583	-0.30927	-0.542406	-0.444482	-0.133965	-0.13171
8952_Prss42	-0.234789	-0.541971	-0.472108	-0.26085	-0.578476	-0.416019
9003_A_52_P170685	-0.34929	-0.570608	-0.234058	-0.278261	-0.399912	-0.400777
9011_A_52_P629098	-0.478394	-0.349711	-0.0749025	0.00453625	-0.285576	-0.0097751
9034_Lrrc38	-0.391366	-0.47898	-0.473246	-0.310164	-0.126399	0.115889
9035_2010107G23Rik	0.00229408	0.283018	0.496542	0.374611	0.321132	0.16965
9055_Mpst	-0.174319	-0.480498	-0.486815	-0.417645	-0.119817	-0.289512
9067_Rusc1	-0.332107	-0.613951	-0.616808	-0.511866	-0.301976	-0.0362074
9104_Cnnm3	0.3347	0.410585	0.220918	0.482854	0.504992	0.0791045
9112_Hsp90aa1	-0.570274	-0.706546	-0.307026	-0.430735	-0.562265	-0.214603
9126_Mobkl3	-0.426672	-0.528618	-0.0822977	-0.147241	-0.190523	0.0953873
9155_A_51_P408329	-0.485142	-0.201975	-0.395308	-0.0856398	-0.227407	-0.095825
9284_Slc10a2	-0.427591	-0.481655	0.0353117	0.0295182	-0.251073	0.0873984
9306_Trp53	0.5578	0.369303	0.365924	0.161818	0.0174186	-0.28933
9349_A_52_P381562	-0.174947	-0.424107	-0.439129	-0.187908	-0.61275	-0.117915
9351_Adamts2	0.527661	0.535047	0.198924	0.701212	0.358033	0.0227161
9390_A_52_P624969	-0.764546	-0.751327	-0.672951	-0.326136	-0.31982	0.0414811
9492_Calr	0.542289	0.445221	0.168469	0.303818	0.194686	-0.0652989
9527_Acot3	-1.32494	-0.905357	-1.00217	-0.60846	-0.809563	-0.135752
9559_Prickle2	-0.119766	-0.496414	-0.488213	-0.367778	-0.587346	-0.518665
9603_Hnrnpl	0.100341	0.028788	-0.0509721	0.0522878	-0.00581676	0.494825
9612_Slc4a4	-0.527845	-0.385078	-0.319426	0.0292981	-0.310318	-0.159393
9613_BC016423	-0.677687	-0.641352	-0.303218	-0.245902	-0.238301	0.0500142
9636_9630001P10Rik	-0.211071	-0.443206	-0.369702	-0.189637	-0.498435	-0.428024
9638_Fabp9	-0.496776	-0.471763	-0.298145	-0.210178	-0.501538	-0.448986
9675_A_51_P182121	-0.414911	-0.569505	-0.459944	-0.403434	-0.54229	-0.450935
9678_March4	-0.0282905	-0.42736	-0.165295	-0.308821	-0.507471	-0.24615
9804_A_52_P1029764	-0.571174	-0.448328	-0.413155	-0.13911	-0.00439527	-0.119594
9835_Ap3m1	-0.56095	-0.50409	-0.337916	-0.158273	-0.368862	-0.100713
9853_Egr1	0.548154	-0.221191	-0.0406377	0.195149	0.0988447	0.0155203
9857_Zbtb26	-0.555785	-0.491126	-0.213491	0.0500633	-0.135828	0.143056
9880_Gm16223	0.369875	0.398035	0.404259	0.486987	0.364965	0.107362
9991_Lpin2	0.116482	0.559988	0.5324	0.639161	0.238273	0.226999
10025_Galr3	-0.309604	-0.482166	-0.282179	-0.20805	-0.0714962	0.173602
10032_Ccdc67	-0.143977	-0.423619	-0.267485	-0.293464	-0.492553	-0.38367
10100_Unc5b	-0.538362	-0.478719	-0.2986	0.241017	-0.185529	-0.040096
10102_Ctnnal1	-0.49783	-0.499765	-0.159058	-0.0470497	-0.172283	0.060537
10169_Unc84a	-0.496533	-0.402894	-0.264391	-0.235188	-0.316097	0.22257
10177_Rpl11	-0.591071	-0.352801	-0.183035	0.118626	-0.440595	0.132637
10211_1810019J16Rik	-0.0754408	0.00660478	0.233389	0.226865	0.0163963	0.501759
10244_Ghdc	0.176364	0.141049	0.299108	0.68208	0.365596	0.228363
10254_Zranb3	0.00573259	0.16896	0.100516	0.482519	0.32516	0.160289
10285_Kcnt1	-0.176584	-0.0701206	-0.0395395	0.0191551	-0.667997	-0.0195725
10328_Alas1	-0.733094	-0.195237	-0.314574	0.063174	-0.691474	-0.399667
10333_Eif4b	0.423559	0.490856	0.211555	0.0795998	0.25395	0.205731
10336_Trib3	0.323175	0.555009	-0.0812536	-0.122515	0.469207	0.324575
10386_Erdr1	-0.429313	-0.0305367	-0.474089	-0.554937	-0.551653	-0.205656
10402_P2ry1	-0.482142	-0.371124	-0.669266	-0.127759	-0.248412	-0.0864941
10533_Col4a1	0.574513	0.426629	0.0517361	0.389451	0.300424	0.16057
10567_Pou3f2	-0.659248	-0.577596	-0.398388	-0.382904	-0.494866	-0.430149
10602_Adcy7	-0.478255	-0.32378	-0.0561171	-0.128984	-0.361947	0.0104699
