	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"
34125_Moxd1	-0.93655	-0.766086	0.898863	-0.170579	-0.632081	0.0333885
34474_Cyp1a1	-0.125703	0.0471433	2.35955	1.86769	0.0256722	2.0182
34511_Khdc1c	-0.356163	-0.546818	-0.498361	-0.33678	-0.815741	-0.572729
34785_Wasf1	0.122019	0.20726	0.684638	0.895686	0.373123	0.242587
34835_Cyp3a41a	-0.214234	-0.0995252	-1.14682	-0.170186	-0.0797381	-0.25843
34984_A_51_P281078	-0.923996	-0.995038	-0.693984	-0.663964	-1.06637	-0.0600428
35054_Hamp	0.00419142	-0.0360553	-0.0684862	0.123032	0.0417728	-0.86564
35095_Pitpnc1	-0.972326	-0.42927	-0.625316	-0.32585	-0.642983	-0.13589
35985_Hamp2	-0.370362	-0.32949	-0.993688	-0.701356	-0.2388	-0.792983
36128_Nppa	-0.25271	-0.416289	-0.447829	-0.161961	-0.809942	-0.0771452
36402_Fkbp5	-0.857769	-0.618683	-0.600249	-0.308153	-0.500228	-0.244397
36488_Cyp3a44	0.0889133	0.0468354	-1.0334	-0.192226	0.0837979	-0.110936
36627_Lars2	-0.508083	-0.807067	-0.60439	-0.389019	-0.239727	0.126043
37061_Cntnap5a	-0.054171	-0.403174	-0.361391	-0.436747	-0.841595	-0.259369
37295_Tff3	0.889612	0.428323	0.876652	0.0660137	0.50413	0.0684777
37722_A_52_P481302	-0.471335	-0.12693	-1.1445	-0.715149	-0.266228	-0.119684
38098_Arl15	-0.390634	-0.831579	-0.312687	-0.255084	-0.0626096	-0.170998
38709_Cyp1a2	0.449186	0.511245	1.14001	1.12152	0.318774	1.19697
38809_Osgin1	0.901106	0.547661	0.092544	0.106704	0.489642	0.308439
40638_Cyp3a44	-1.67419	-1.77891	-2.14877	-1.56242	-1.60579	-0.67568
40705_Pygl	-0.870382	-0.0848396	-0.57039	-0.187497	-0.15442	-0.0464985
40971_Rhox6	-0.304992	0.477635	0.236243	0.107453	-0.84004	0.115992
41559_A_52_P462257	0.236656	-0.0404467	1.03004	0.329775	0.0181214	0.202953
41666_Gm1381	-0.850515	-0.590165	-0.156673	-0.3117	-0.509366	0.36674
44386_Insl6	-0.397546	-0.154404	1.00412	0.87312	0.0936149	0.569442
44840_Slc46a3	0.033333	0.143289	0.889548	0.901274	0.139732	0.973912
45034_Clcnka	-0.0910536	0.0199262	0.911388	0.883767	0.138934	0.244158
45099_Txndc3	0	-0.593031	-0.418168	-0.19524	-0.822027	-0.269471
45116_Chad	-0.174281	-0.0936484	0.924571	0.890906	0.105005	0.774109
